open_time,open,high,low,close,volume
2025-07-08 15:00:00,658.36,659.46,657.5,658.04,13162.67
2025-07-08 16:00:00,658.05,659.57,657.24,658.71,18171.83
2025-07-08 17:00:00,658.71,661.52,658.58,660.7,20366.89
2025-07-08 18:00:00,660.69,661.99,660.69,661.77,10673.82
2025-07-08 19:00:00,661.78,662.07,660.35,660.97,8434.77
2025-07-08 20:00:00,660.97,660.98,658.73,658.73,9233.59
2025-07-08 21:00:00,658.74,659.73,657.54,659.69,15349.44
2025-07-08 22:00:00,659.69,659.97,658.54,659.95,4480.61
2025-07-08 23:00:00,659.96,660.63,659.35,660.52,6464.78
2025-07-09 00:00:00,660.52,661.65,659.88,661.65,10723.86
2025-07-09 01:00:00,661.64,662.53,660.24,660.75,11908.89
2025-07-09 02:00:00,660.75,662.24,660.55,661.68,10198.93
2025-07-09 03:00:00,661.68,662.05,660.88,661.78,8187.65
2025-07-09 04:00:00,661.78,662.3,661.44,662.3,6239.92
2025-07-09 05:00:00,662.3,664.27,662.28,664.18,22429.9
2025-07-09 06:00:00,664.18,664.6,663.13,663.61,12341.48
2025-07-09 07:00:00,663.62,663.67,662.43,662.56,8496.2
2025-07-09 08:00:00,662.55,662.89,660.8,660.8,11802.34
2025-07-09 09:00:00,660.8,660.81,659.83,660.04,11223.73
2025-07-09 10:00:00,660.04,660.42,658.41,660.41,18081.58
2025-07-09 11:00:00,660.42,662.17,660.38,661.24,12601.8
2025-07-09 12:00:00,661.23,662.47,660.6,662.01,15175.24
2025-07-09 13:00:00,662.01,662.96,661.78,661.97,15892.92
2025-07-09 14:00:00,661.97,663.45,660.04,661.82,19259.13
2025-07-09 15:00:00,661.83,663.08,661.67,662.53,12220.7
2025-07-09 16:00:00,662.54,663.45,662.49,662.95,10686.64
2025-07-09 17:00:00,662.95,663.06,662.12,662.91,6726.28
2025-07-09 18:00:00,662.9,665.97,662.59,665.24,29881.57
2025-07-09 19:00:00,665.24,670.27,665.16,669.51,37926.54
2025-07-09 20:00:00,669.51,671.94,666.57,666.63,34160.82
2025-07-09 21:00:00,666.63,669.18,666.28,667.42,20866.44
2025-07-09 22:00:00,667.42,670.78,667.42,670.28,12274.78
2025-07-09 23:00:00,670.27,670.27,668.48,668.88,10065.27
2025-07-10 00:00:00,668.89,670.86,668.65,670.1,15879.02
2025-07-10 01:00:00,670.1,670.31,668.4,669.54,9165.17
2025-07-10 02:00:00,669.53,671.12,669.44,670.78,10210.71
2025-07-10 03:00:00,670.79,671.61,669.92,670.49,9899.01
2025-07-10 04:00:00,670.49,673.04,670.12,672.54,13814.2
2025-07-10 05:00:00,672.54,673.37,672.18,673.11,9536.18
2025-07-10 06:00:00,673.11,673.12,669.73,670.26,14662.14
2025-07-10 07:00:00,670.27,672.67,670.12,671.4,18541.68
2025-07-10 08:00:00,671.39,673.9,671.37,672.03,24404.96
2025-07-10 09:00:00,672.03,672.69,670.55,670.87,21222.34
2025-07-10 10:00:00,670.88,670.93,669.33,670.2,22475.55
2025-07-10 11:00:00,670.2,671.31,669.48,669.95,12235.04
2025-07-10 12:00:00,669.95,671.08,669.3,671.02,10449.91
2025-07-10 13:00:00,671.02,671.8,669.63,670.07,10601.29
2025-07-10 14:00:00,670.07,670.37,667.68,669.35,18100.86
2025-07-10 15:00:00,669.34,669.34,667.12,668.14,12705.71
2025-07-10 16:00:00,668.14,672.37,667.73,672.03,26699.98
2025-07-10 17:00:00,672.03,675.69,671.11,675.4,31544.3
2025-07-10 18:00:00,675.4,677.37,673.67,675.67,34284.6
2025-07-10 19:00:00,675.67,679.24,675.66,676.08,30722.47
2025-07-10 20:00:00,676.08,677.37,675.68,676.45,11970.83
2025-07-10 21:00:00,676.45,688.0,676.09,684.98,92269.93
2025-07-10 22:00:00,684.96,688.13,684.51,687.39,30950.47
2025-07-10 23:00:00,687.39,687.95,684.18,686.3,30838.53
